LOCATION_GID,LOCATION_XID,LOCATION_NAME,CITY,PROVINCE,PROVINCE_CODE,POSTAL_CODE,COUNTRY_CODE3_GID,ZONE1,ZONE2,ZONE3,TIME_ZONE_GID,LAT,LON
LFL/TMS/PHL.GSK1200044162,GSK1200044162,SNACK EXCHANGE MAINSTREMBUSINCBGUIO,BAGUIO,BENGUET,PH-BEN,2600,PHL,LFREG01,PH-BEN,BAGUIO,Asia/Manila,16.40904,120.59947
LFL/TMS/PHL.GSK1200043999,GSK1200043999,ROBINSONS SMKT BALANGA BATAAN,BALANGA,BATAAN,PH-BAN,2100,PHL,LFREG03,PH-BAN,BALANGA,Asia/Manila,14.67893,120.54138
LFL/TMS/PHL.GSK1200044127,GSK1200044127,PUREGOLD PRICE CLUB BALANGA,BALANGA,BATAAN,PH-BAN,2100,PHL,LFREG03,PH-BAN,BALANGA,Asia/Manila,14.67857,120.54011
LFL/TMS/PHL.GSK1200060692,GSK1200060692,FIRST LANE NE SUKLAYIN BALER,BALER,AURORA,PH-AUR,3200,PHL,LFREG03,PH-AUR,BALER,Asia/Manila,15.75639,121.54728
LFL/TMS/PHL.GSK1200061767,GSK1200061767,SANFORD MKTG CORP BAMBANG,BAMBANG,NUEVA VIZCAYA,PH-NUV,3702,PHL,LFREG02,PH-NUV,BAMBANG,Asia/Manila,16.40322,121.11177
LFL/TMS/PHL.GSK1200044283,GSK1200044283,Puregold Quirino Highway,CALOOCAN NORTH,NCR,PH-00,1420,PHL,LFNCR01,PH-00-6,CALOOCAN NORTH,Asia/Manila,14.72452,121.04171
LFL/TMS/PHL.GSK1200061797,GSK1200061797,SANFORD MKTG CORP BAMBANG,BAMBANG,NUEVA VIZCAYA,PH-NUV,3702,PHL,LFREG02,PH-NUV,BAMBANG,Asia/Manila,16.38834,121.1072
LFL/TMS/PHL.GSK1200060017,GSK1200060017,Puregold Deparo Caloocan,CALOOCAN NORTH,NCR,PH-00,1420,PHL,LFNCR01,PH-00-6,CALOOCAN NORTH,Asia/Manila,14.74115,121.02358
LFL/TMS/PHL.GSK1200059437,GSK1200059437,Puregold Bagong Silang Caloocan,CALOOCAN NORTH,NCR,PH-00,1420,PHL,LFNCR01,PH-00-6,CALOOCAN NORTH,Asia/Manila,14.78073,121.03334
LFL/TMS/PHL.GSK1200059821,GSK1200059821,Supervalue SM CENTER SANGANDAAN,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,PH-00-5,CALOOCAN SOUTH,Asia/Manila,14.65824,120.97174
LFL/TMS/PHL.GSK1200044257,GSK1200044257,Sanford Marketing Corp Candon,CANDON,ILOCOS SUR,PH-ILS,2710,PHL,LFREG01,PH-ILS,CANDON,Asia/Manila,17.19333,120.44793
LFL/TMS/PHL.GSK1200043884,GSK1200043884,SOUTH STAR DRUG INC CAM SUR,CAMALIGAN,CAMARINES SUR,PH-CAS,4401,PHL,LFREG05,PH-CAS,CAMALIGAN,Asia/Manila,13.63113,123.49698
LFL/TMS/PHL.GSK1200061676,GSK1200061676,Puregold Maypajo Caloocan,CALOOCAN SOUTH,NCR,PH-00,1400,PHL,LFNCR01,PH-00-5,CALOOCAN SOUTH,Asia/Manila,14.63769,120.97481
LFL/TMS/PHL.GSK1100290470,GSK1100290470,KING JAN ENTERPRISES,CAUAYAN CITY,ISABELA,PH-ISA,3305,PHL,LFREG02,PH-ISA,CAUAYAN CITY,Asia/Manila,16.93725,121.76679
LFL/TMS/PHL.GSK1200044259,GSK1200044259,SUPERVALUE INC CAUAYAN CITY,CAUAYAN CITY,ISABELA,PH-ISA,3305,PHL,LFREG02,PH-ISA,CAUAYAN CITY,Asia/Manila,16.93706,121.76761
LFL/TMS/PHL.GSK1100290472,GSK1100290472,Euro Med Laboratories Phils Inc,SILANG,CAVITE,PH-CAV,4118,PHL,LFREG4A,PH-CAV,SILANG,Asia/Manila,14.18394,120.96396
LFL/TMS/PHL.GSK1200043662,GSK1200043662,SUPERVALUE INC BACOOR,BACOOR CITY,CAVITE,PH-CAV,4102,PHL,LFREG4A,PH-CAV,BACOOR CITY,Asia/Manila,14.44525,120.9505
