Model,Column,Variable,Hyperparameter
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-1,2.993595725515039
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-10,3.5643865209091175
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-11,1.5223939651343494
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-12,0.28400597937634
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-13,4.681783455358899
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-14,0.12746388510322393
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-2,1.8952307801806163
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-3,3.1356278250503533
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-4,1.0088854416180282
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-5,1.7816827560862385
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-6,3.6251551508692463
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-7,2.5247681013732333
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-8,0.7815195171206368
SKTree,ConsigneeKey_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-9,1.903615206117325
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-1,4.423858353119462
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-10,1.626919085036111
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-11,3.8931831777790986
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-12,2.3470021303716555
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-13,1.2889712143258714
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-14,2.282112055017919
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-2,0.4799372153491882
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-3,4.576219330411484
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-4,0.07212283992491242
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-5,1.4153449101035365
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-6,0.14265240391277134
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-7,4.567234784890424
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-8,3.4955888649506357
SKTree,ConsigneeKey_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-9,3.583283894892224
SKTree,ConsigneeKey_NIKEPH_LFNCR01,learning_rate,0.24512424241538863
SKTree,ConsigneeKey_NIKEPH_LFNCR01,max_depth,4.0
SKTree,ConsigneeKey_NIKEPH_LFNCR01,n_estimators,1.0
SKTree,ConsigneeKey_NIKEPH_LFNCR01,subsample,0.9499959633707029
