Model,Column,Variable,Hyperparameter
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-1,3.8885176968552027
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-10,1.2692585739844238
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-11,4.354664321746321
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-12,4.857644063206374
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-13,1.1596133843276557
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-14,2.426282185143212
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-2,0.7519185827001801
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-3,2.335152379996939
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-4,4.329652108970349
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-5,0.3762741540707343
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-6,1.8631756511540465
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-7,2.8411948845425377
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-8,0.09168530956080334
SKTree,ConsigneeKey_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-9,0.2828608781487163
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-1,1.4149804366593233
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-10,2.5143078089923994
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-11,1.9349110693642302
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-12,4.1794308468776835
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-13,1.619111379526188
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-14,2.1165291504858814
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-2,1.018729994568011
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-3,0.11332902925476618
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-4,4.114354281625436
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-5,0.9299125395926783
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-6,3.140193626841982
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-7,0.6139078982474666
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-8,4.87518978188558
SKTree,ConsigneeKey_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-9,0.15764559019552649
SKTree,ConsigneeKey_NIKEPH_LFREG03,learning_rate,0.3016829816806096
SKTree,ConsigneeKey_NIKEPH_LFREG03,max_depth,4.0
SKTree,ConsigneeKey_NIKEPH_LFREG03,n_estimators,1.0
SKTree,ConsigneeKey_NIKEPH_LFREG03,subsample,0.868535623543891
