Model,Column,Variable,Hyperparameter
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-1,1.8466379910196087
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-10,0.9047305404946336
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-11,2.9695689465466897
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-12,1.2015466912800288
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-13,4.9942095538180995
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-14,0.046281786368629785
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-2,3.226058437621607
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-3,3.1043965797346287
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-4,1.573719407009623
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-5,1.6693178156726483
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-6,3.812530059024899
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-7,3.2251471445547413
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-8,3.311619389189497
SKTree,ConsigneeKey_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-9,1.7257853159443226
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-1,0.17760853225648743
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-10,0.20788884044862987
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-11,4.919480739669761
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-12,3.4825995668589584
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-13,3.544590793337684
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-14,2.758293182947386
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-2,1.6576311999546784
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-3,3.0516340322943662
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-4,4.392165994231387
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-5,2.2452371742138
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-6,4.108256562889207
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-7,0.7237499571597432
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-8,1.5658055649135618
SKTree,ConsigneeKey_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-9,2.0388532885299355
SKTree,ConsigneeKey_NIKEPH_LFREG4A,learning_rate,0.3044825409409509
SKTree,ConsigneeKey_NIKEPH_LFREG4A,max_depth,5.0
SKTree,ConsigneeKey_NIKEPH_LFREG4A,n_estimators,0.0
SKTree,ConsigneeKey_NIKEPH_LFREG4A,subsample,0.9048016161862934
