Model,Column,Variable,Hyperparameter
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-1,3.8766490533741678
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-10,0.08711507411707453
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-11,1.9734092872441766
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-12,0.4421539612967579
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-13,3.743435341879611
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-14,0.8959103576049299
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-2,0.015159549839060538
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-3,0.004833980065793719
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-4,4.560098177435003
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-5,0.8334895786762536
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-6,0.2196190499281464
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-7,4.104076015725319
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-8,2.8722399734465576
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-9,4.118009386236641
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-1,4.997356581667653
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-10,4.752571794280608
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-11,1.3057729131358864
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-12,1.2330148444635192
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-13,3.925058684299425
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-14,0.7019159407179237
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-2,0.7761088320715065
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-3,4.886491608257541
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-4,1.8205716556051865
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-5,3.4549068441751767
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-6,1.8063720189883015
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-7,4.733254547091534
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-8,4.270227903878639
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-9,1.8864334318358171
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,learning_rate,0.40373518233742933
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,max_depth,4.0
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,n_estimators,0.0
SKTree,ConsigneeKey_NIKEPH_LFRIZ01,subsample,0.9650580686249448
