Model,Column,Variable,Hyperparameter
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-1,1.8940152882613726
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-10,4.641360450445651
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-11,4.883696044692904
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-12,3.3353021391658983
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-13,4.3952682223669735
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-14,0.051760584079948435
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-2,2.2126838727352762
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-3,0.9015233866641614
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-4,2.064278732362162
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-5,4.446712148241523
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-6,3.6694697459617664
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-7,2.671729832373739
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-8,2.783309162612982
SKTree,New Quantity_NIKEPH_LFNCR01,ConsigneeKey_NIKEPH_LFNCR01_-9,4.333410832440291
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-1,4.165928789456485
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-10,0.17574046726339276
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-11,2.549204975966855
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-12,4.762949667192217
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-13,2.9139369318237645
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-14,1.9386235979835003
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-2,2.2870099108020088
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-3,0.7484651632681333
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-4,4.726707677783196
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-5,2.051676456099203
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-6,3.3779210882519677
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-7,3.0800811061284334
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-8,1.8538977884075591
SKTree,New Quantity_NIKEPH_LFNCR01,New Quantity_NIKEPH_LFNCR01_-9,3.7500865512663006
SKTree,New Quantity_NIKEPH_LFNCR01,learning_rate,0.11872498690818815
SKTree,New Quantity_NIKEPH_LFNCR01,max_depth,3.0
SKTree,New Quantity_NIKEPH_LFNCR01,n_estimators,0.0
SKTree,New Quantity_NIKEPH_LFNCR01,subsample,0.900947252145464
