Model,Column,Variable,Hyperparameter
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-1,0.7882920981080949
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-10,2.6036264341221176
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-11,0.6009928497886335
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-12,2.7653171476597893
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-13,2.4821748315870034
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-14,3.7882617277719426
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-2,1.3006576731284736
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-3,2.8239088021511978
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-4,4.240254914468949
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-5,1.3906595736389238
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-6,1.5865797177272727
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-7,1.8995236608161563
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-8,1.6367253103731383
SKTree,New Quantity_NIKEPH_LFREG03,ConsigneeKey_NIKEPH_LFREG03_-9,0.8560344376323314
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-1,3.6021626600855354
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-10,0.4725985534731342
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-11,4.421689155513986
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-12,3.2551474880028577
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-13,1.5699663648912499
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-14,4.451156280401246
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-2,1.9077680568193807
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-3,4.434614023736064
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-4,2.3188124197936193
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-5,4.700864557478991
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-6,0.10849557812389332
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-7,2.5454314716903625
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-8,4.001999065471252
SKTree,New Quantity_NIKEPH_LFREG03,New Quantity_NIKEPH_LFREG03_-9,4.256889361226985
SKTree,New Quantity_NIKEPH_LFREG03,learning_rate,0.06649624067055329
SKTree,New Quantity_NIKEPH_LFREG03,max_depth,4.0
SKTree,New Quantity_NIKEPH_LFREG03,n_estimators,1.0
SKTree,New Quantity_NIKEPH_LFREG03,subsample,0.7998912922445522
