Model,Column,Variable,Hyperparameter
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-1,1.4027868546816826
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-10,4.97896201481597
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-11,1.6603881513996481
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-12,0.06060521677308119
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-13,2.6161143891184615
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-14,0.3724842814648224
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-2,3.192406041378651
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-3,0.3858587680884815
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-4,2.84786134112186
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-5,2.7355727050402234
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-6,2.4000559436757722
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-7,4.119273493493852
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-8,1.8622709279702945
SKTree,New Quantity_NIKEPH_LFREG4A,ConsigneeKey_NIKEPH_LFREG4A_-9,3.626115693442088
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-1,4.968238910940097
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-10,2.3276828831439738
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-11,1.449153645639682
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-12,1.2299975963146927
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-13,2.066780105927172
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-14,3.816252664107428
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-2,3.293074891720293
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-3,0.05577800136217809
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-4,2.52928598993366
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-5,3.2581344746806877
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-6,2.737702073837366
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-7,0.051324361361286486
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-8,4.218450957080858
SKTree,New Quantity_NIKEPH_LFREG4A,New Quantity_NIKEPH_LFREG4A_-9,0.46971316710829647
SKTree,New Quantity_NIKEPH_LFREG4A,learning_rate,0.17505434833269298
SKTree,New Quantity_NIKEPH_LFREG4A,max_depth,3.0
SKTree,New Quantity_NIKEPH_LFREG4A,n_estimators,0.0
SKTree,New Quantity_NIKEPH_LFREG4A,subsample,0.6059165926866066
