Model,Column,Variable,Hyperparameter
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-1,4.590798725094556
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-10,2.8495031257385164
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-11,3.248770621163176
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-12,2.9651494077275413
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-13,1.5523959000002772
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-14,3.2842132852716066
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-2,1.9804519611427822
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-3,4.461751759129116
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-4,2.0970738840722545
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-5,1.5136622762750527
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-6,3.717806953071996
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-7,3.1052834839178294
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-8,2.0073978648828095
SKTree,New Quantity_NIKEPH_LFRIZ01,ConsigneeKey_NIKEPH_LFRIZ01_-9,2.558374667367773
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-1,1.3856233465155836
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-10,0.7129993842981871
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-11,3.8945129584111675
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-12,3.934405224228352
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-13,1.4872369472379432
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-14,2.2185450580555712
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-2,0.10290301562554294
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-3,3.01068286033274
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-4,1.1050878489897655
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-5,3.2416056913997258
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-6,2.8559681460646904
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-7,1.0278402687926673
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-8,4.292534250253693
SKTree,New Quantity_NIKEPH_LFRIZ01,New Quantity_NIKEPH_LFRIZ01_-9,1.4755019719516056
SKTree,New Quantity_NIKEPH_LFRIZ01,learning_rate,0.197158312528007
SKTree,New Quantity_NIKEPH_LFRIZ01,max_depth,5.0
SKTree,New Quantity_NIKEPH_LFRIZ01,n_estimators,0.0
SKTree,New Quantity_NIKEPH_LFRIZ01,subsample,0.9901096298045486
