Model,Column,Variable,Hyperparameter
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-1,1.913026594998401
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-10,3.8325265023203183
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-11,2.0112467958891616
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-12,1.175734917361412
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-13,3.5984097416912455
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-14,4.193709376913535
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-2,1.5063990670436183
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-3,2.9213134558191767
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-4,1.5071357051734526
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-5,3.1243483175790407
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-6,2.9117828324905086
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-7,0.7677986117661852
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-8,0.013404643349518963
SKTree,New Quantity_NIKEPH_LFVISMIN,ConsigneeKey_NIKEPH_LFVISMIN_-9,1.503291812617653
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-1,4.938702310047277
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-10,2.067010423096048
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-11,1.080421784378855
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-12,4.535777136807315
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-13,0.4517690221880632
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-14,4.99815287254473
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-2,4.2358886704985474
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-3,4.069126203081861
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-4,3.04734306525257
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-5,2.401254102945747
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-6,4.907963484883554
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-7,3.491998795413338
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-8,4.930005751115127
SKTree,New Quantity_NIKEPH_LFVISMIN,New Quantity_NIKEPH_LFVISMIN_-9,2.285940729394982
SKTree,New Quantity_NIKEPH_LFVISMIN,learning_rate,0.27689872949868355
SKTree,New Quantity_NIKEPH_LFVISMIN,max_depth,4.0
SKTree,New Quantity_NIKEPH_LFVISMIN,n_estimators,1.0
SKTree,New Quantity_NIKEPH_LFVISMIN,subsample,0.8238305300503087
